filename,path,pred,conf,second,second_conf,status
001181.jpg,001181.jpg,swd,1.0000,others,0.0000,unknown_class
001543.jpg,001543.jpg,swd,1.0000,others,0.0000,unknown_class
003472.jpg,003472.jpg,swd,1.0000,others,0.0000,unknown_class
000785.jpg,000785.jpg,swd,1.0000,others,0.0000,unknown_class
000082.jpg,000082.jpg,swd,1.0000,others,0.0000,unknown_class
001194.jpg,001194.jpg,swd,1.0000,others,0.0000,unknown_class
000382.jpg,000382.jpg,swd,1.0000,others,0.0000,unknown_class
007709.jpg,007709.jpg,swd,1.0000,others,0.0000,unknown_class
007773.jpg,007773.jpg,swd,1.0000,others,0.0000,unknown_class
002664.jpg,002664.jpg,swd,1.0000,others,0.0000,unknown_class
001433.jpg,001433.jpg,swd,1.0000,others,0.0000,unknown_class
001593.jpg,001593.jpg,swd,1.0000,others,0.0000,unknown_class
001067.jpg,001067.jpg,swd,1.0000,others,0.0000,unknown_class
000113.jpg,000113.jpg,swd,1.0000,others,0.0000,unknown_class
002551.jpg,002551.jpg,swd,1.0000,others,0.0000,unknown_class
008104.jpg,008104.jpg,swd,1.0000,others,0.0000,unknown_class
000897.jpg,000897.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005556.jpg,005556.jpg,swd,1.0000,others,0.0000,unknown_class
000489.jpg,000489.jpg,swd,1.0000,others,0.0000,unknown_class
002009.jpg,002009.jpg,swd,1.0000,mayswd,0.0000,unknown_class
004350.jpg,004350.jpg,swd,1.0000,others,0.0000,unknown_class
003119.jpg,003119.jpg,swd,1.0000,others,0.0000,unknown_class
003114.jpg,003114.jpg,swd,1.0000,others,0.0000,unknown_class
005515.jpg,005515.jpg,swd,1.0000,others,0.0000,unknown_class
000057.jpg,000057.jpg,swd,1.0000,others,0.0000,unknown_class
000594.jpg,000594.jpg,swd,1.0000,mayswd,0.0000,unknown_class
006204.jpg,006204.jpg,swd,1.0000,others,0.0000,unknown_class
001125.jpg,001125.jpg,swd,1.0000,others,0.0000,unknown_class
002350.jpg,002350.jpg,swd,1.0000,others,0.0000,unknown_class
000768.jpg,000768.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005999.jpg,005999.jpg,swd,1.0000,others,0.0000,unknown_class
002081.jpg,002081.jpg,swd,1.0000,others,0.0000,unknown_class
000072.jpg,000072.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000186.jpg,000186.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000743.jpg,000743.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002020.jpg,002020.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000672.jpg,000672.jpg,swd,1.0000,others,0.0000,unknown_class
001707.jpg,001707.jpg,swd,1.0000,others,0.0000,unknown_class
002358.jpg,002358.jpg,swd,1.0000,others,0.0000,unknown_class
000249.jpg,000249.jpg,swd,1.0000,others,0.0000,unknown_class
000675.jpg,000675.jpg,swd,1.0000,others,0.0000,unknown_class
000903.jpg,000903.jpg,swd,1.0000,others,0.0000,unknown_class
001872.jpg,001872.jpg,swd,1.0000,others,0.0000,unknown_class
005960.jpg,005960.jpg,swd,1.0000,others,0.0000,unknown_class
