path,datetime,focal,resolution,date,time,gap_time
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1902_540.jpg,2024-08-26 19:02:00,540,4656x3496,2024-08-26,19:02:00,24.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1903_580.jpg,2024-08-26 19:03:00,580,4656x3496,2024-08-26,19:03:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1905_600.jpg,2024-08-26 19:05:00,600,4656x3496,2024-08-26,19:05:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1907_640.jpg,2024-08-26 19:07:00,640,4656x3496,2024-08-26,19:07:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1908_680.jpg,2024-08-26 19:08:00,680,4656x3496,2024-08-26,19:08:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1931_540.jpg,2024-08-26 19:31:00,540,4656x3496,2024-08-26,19:31:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1933_580.jpg,2024-08-26 19:33:00,580,4656x3496,2024-08-26,19:33:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1934_600.jpg,2024-08-26 19:34:00,600,4656x3496,2024-08-26,19:34:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1935_640.jpg,2024-08-26 19:35:00,640,4656x3496,2024-08-26,19:35:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_1937_680.jpg,2024-08-26 19:37:00,680,4656x3496,2024-08-26,19:37:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2001_540.jpg,2024-08-26 20:01:00,540,4656x3496,2024-08-26,20:01:00,24.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2003_580.jpg,2024-08-26 20:03:00,580,4656x3496,2024-08-26,20:03:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2004_600.jpg,2024-08-26 20:04:00,600,4656x3496,2024-08-26,20:04:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2006_640.jpg,2024-08-26 20:06:00,640,4656x3496,2024-08-26,20:06:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2007_680.jpg,2024-08-26 20:07:00,680,4656x3496,2024-08-26,20:07:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2031_540.jpg,2024-08-26 20:31:00,540,4656x3496,2024-08-26,20:31:00,24.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2033_580.jpg,2024-08-26 20:33:00,580,4656x3496,2024-08-26,20:33:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2034_600.jpg,2024-08-26 20:34:00,600,4656x3496,2024-08-26,20:34:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2035_640.jpg,2024-08-26 20:35:00,640,4656x3496,2024-08-26,20:35:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0826_2037_680.jpg,2024-08-26 20:37:00,680,4656x3496,2024-08-26,20:37:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0603_540.jpg,2024-08-27 06:03:00,540,4656x3496,2024-08-27,06:03:00,566.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0604_580.jpg,2024-08-27 06:04:00,580,4656x3496,2024-08-27,06:04:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0605_600.jpg,2024-08-27 06:05:00,600,4656x3496,2024-08-27,06:05:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0607_640.jpg,2024-08-27 06:07:00,640,4656x3496,2024-08-27,06:07:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0608_680.jpg,2024-08-27 06:08:00,680,4656x3496,2024-08-27,06:08:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0631_540.jpg,2024-08-27 06:31:00,540,4656x3496,2024-08-27,06:31:00,23.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0633_580.jpg,2024-08-27 06:33:00,580,4656x3496,2024-08-27,06:33:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0634_600.jpg,2024-08-27 06:34:00,600,4656x3496,2024-08-27,06:34:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0635_640.jpg,2024-08-27 06:35:00,640,4656x3496,2024-08-27,06:35:00,1.0
