datetime,count
2024-08-10T08:05:00,1
2024-08-10T08:35:00,1
2024-08-10T09:05:00,1
2024-08-10T09:35:00,1
2024-08-10T10:05:00,1
2024-08-10T10:35:00,2
2024-08-10T11:05:00,2
2024-08-10T11:35:00,1
2024-08-10T12:05:00,2
2024-08-10T12:35:00,1
2024-08-10T13:05:00,1
2024-08-10T13:35:00,1
2024-08-10T14:05:00,1
2024-08-10T14:35:00,2
2024-08-10T15:05:00,1
2024-08-10T15:35:00,1
2024-08-10T16:05:00,1
2024-08-10T16:35:00,1
2024-08-10T17:05:00,1
2024-08-10T17:35:00,1
2024-08-10T18:05:00,1
2024-08-10T18:35:00,1
2024-08-10T19:05:00,1
2024-08-10T19:35:00,1
2024-08-10T20:05:00,2
2024-08-10T20:35:00,0
2024-08-11T06:05:00,0
2024-08-11T06:35:00,3
2024-08-11T07:05:00,2
2024-08-11T07:35:00,3
2024-08-11T08:05:00,3
2024-08-11T08:35:00,2
2024-08-11T09:05:00,2
2024-08-11T09:35:00,2
2024-08-11T10:05:00,2
2024-08-11T10:35:00,3
2024-08-11T11:05:00,1
2024-08-11T11:35:00,2
2024-08-11T12:05:00,2
2024-08-11T12:35:00,1
2024-08-11T13:05:00,1
2024-08-11T13:35:00,1
2024-08-11T14:05:00,1
2024-08-11T14:35:00,1
2024-08-11T15:05:00,1
2024-08-11T15:35:00,1
2024-08-11T16:05:00,1
2024-08-11T16:35:00,1
2024-08-11T17:05:00,1
2024-08-11T17:35:00,1
2024-08-11T18:05:00,1
2024-08-11T18:35:00,1
2024-08-11T19:05:00,1
2024-08-11T19:35:00,1
2024-08-11T20:05:00,1
2024-08-11T20:35:00,0
2024-08-12T06:05:00,0
2024-08-12T06:35:00,1
2024-08-12T07:05:00,1
2024-08-12T07:35:00,0
2024-08-12T08:05:00,1
2024-08-12T08:35:00,1
2024-08-12T09:05:00,1
2024-08-12T09:35:00,1
2024-08-12T10:05:00,1
2024-08-12T10:35:00,2
2024-08-12T11:05:00,2
2024-08-12T11:35:00,0
2024-08-12T12:05:00,0
2024-08-12T12:35:00,0
2024-08-12T13:05:00,3
2024-08-12T13:35:00,1
2024-08-12T14:05:00,1
2024-08-12T14:35:00,2
2024-08-12T15:05:00,1
2024-08-12T15:35:00,1
2024-08-12T16:05:00,1
2024-08-12T16:35:00,1
2024-08-12T17:05:00,1
2024-08-12T17:35:00,1
2024-08-12T18:05:00,1
2024-08-12T18:35:00,1
2024-08-12T19:05:00,1
2024-08-12T19:35:00,0
2024-08-12T20:05:00,1
2024-08-12T20:35:00,0
2024-08-13T06:05:00,0
2024-08-13T06:34:00,2
2024-08-13T07:04:00,2
2024-08-13T07:34:00,2
2024-08-13T08:04:00,3
