capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-13 06:01:00,2024-06-13,06:01:00,6,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 06:31:00,2024-06-13,06:31:00,6,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 07:01:00,2024-06-13,07:01:00,7,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 07:31:00,2024-06-13,07:31:00,7,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 08:01:00,2024-06-13,08:01:00,8,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 08:31:00,2024-06-13,08:31:00,8,165,0.8790009021759033,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 09:01:00,2024-06-13,09:01:00,9,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 09:31:00,2024-06-13,09:31:00,9,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 10:01:00,2024-06-13,10:01:00,10,165,0.8740767240524292,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 10:31:00,2024-06-13,10:31:00,10,165,0.894720733165741,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 11:01:00,2024-06-13,11:01:00,11,165,0.8837004899978638,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 11:31:00,2024-06-13,11:31:00,11,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 12:01:00,2024-06-13,12:01:00,12,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 12:31:00,2024-06-13,12:31:00,12,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 13:01:00,2024-06-13,13:01:00,13,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 13:31:00,2024-06-13,13:31:00,13,165,0.0,0,0.0,700,1,0,0,0.0,0.0
